Word, Definition
philanthropist,one who loves mankind
introspection,examining one's own thoughts and feelings
introspection,examining one's own thoughts and feelings
strive,to make great efforts, to struggle"
entice,attract, lure"
braggart,boastful
aggravate,make wose; irritate
ambiguous,doubtful; uncertain
adorn,add beauty; decorate
malevolent,malicious; evil; having or showing ill will
connote,Suggest or implu in addition to the precise, literal meaning"
agile,active; quick-moving
abhor,to hate; to detest
stray,wander lose one's way
abada,the rhinoceros
minute,infinitely or immeasurably small
accord,concurrence of opinion
evident,clearly revealed to the mind or the senses or judgment
practice,a customary way of operation or behavior
intend,have in mind as a purpose
concern,something that interests you because it is important
disrobe,undress
amalgamate,mix; combine; unite societies
issue,some situation or event that is thought about
approach,move towards
utter,without qualification
policy,a plan of action adopted by an individual or social group
straight,successive; without a break
apparent,clearly revealed to the mind or the senses or judgment
fancy,imagine; conceive of; see in one's mind
court,an assembly to conduct judicial business
appoint,assign a duty, responsibility, or obligation to"
passage,a section of text
vain,unproductive of success
project,a planned undertaking
instance,an occurrence of something
coast,the shore of a sea or ocean
project,a planned undertaking
commission,a special group delegated to consider some matter
constant,a quantity that does not vary
circumstances,one's overall condition in life
constitute,compose or represent
level,a relative position or degree of value in a graded group
affect,have an influence upon
institute,set up or lay the groundwork for
render,give an interpretation of
generate,bring into existence
range,a variety of different things or activities
campaign,a race between candidates for elective office
league,an association of sports teams that organizes matches
labor,any piece of work that is undertaken or attempted
confer,have a meeting in order to talk something over
grant,allow to have
entertain,provide amusement for
