ambiguous,doubtful; uncertain
adorn,add beauty; decorate
court,an assembly to conduct judicial business
instance,an occurrence of something
circumstances,one's overall condition in life
minute,infinitely or immeasurably small
practice,a customary way of operation or behavior
policy,a plan of action adopted by an individual or social group
strive,to make great efforts, to struggle"
commission,a special group delegated to consider some matter
level,a relative position or degree of value in a graded group
constitute,compose or represent
apparent,clearly revealed to the mind or the senses or judgment
appoint,assign a duty, responsibility, or obligation to"
campaign,a race between candidates for elective office
abada,the rhinoceros
confer,have a meeting in order to talk something over
fancy,imagine; conceive of; see in one's mind
vain,unproductive of success
affect,have an influence upon
institute,set up or lay the groundwork for
evident,clearly revealed to the mind or the senses or judgment
agile,active; quick-moving
malevolent,malicious; evil; having or showing ill will
generate,bring into existence
labor,any piece of work that is undertaken or attempted
introspection,examining one's own thoughts and feelings
aggravate,make wose; irritate
approach,move towards
accord,concurrence of opinion
utter,without qualification
league,an association of sports teams that organizes matches
stray,wander lose one's way
entertain,provide amusement for
render,give an interpretation of
range,a variety of different things or activities
disrobe,undress
abhor,to hate; to detest
entice,attract, lure"
project,a planned undertaking
concern,something that interests you because it is important
philanthropist,one who loves mankind
passage,a section of text
grant,allow to have
coast,the shore of a sea or ocean
amalgamate,mix; combine; unite societies
straight,successive; without a break
connote,Suggest or implu in addition to the precise, literal meaning"
braggart,boastful
intend,have in mind as a purpose
issue,some situation or event that is thought about
constant,a quantity that does not vary
